"timestamp","device_id","max_co","min_co","max_humidity","min_humidity","max_lpg","min_lpg","max_smoke","min_smoke","max_temperature","min_temperature"
"2020-07-12 16:00:00","b8:27:eb:bf:9d:51","0.0050630420","0.0049505891","52.6","49.7","0.0077700706","0.0076448406","0.0207512817","0.0203942275","22.3","21.4"
"2020-07-12 17:00:00","00:0f:00:70:91:0a","0.0045818356","0.0039728717","74.3","72.6","0.0072285181","0.0065198100","0.0192101173","0.0172052949","19.3","18.8"
"2020-07-12 17:00:00","1c:bf:ce:15:ec:4d","0.0042495627","0.0041696800","54.7","49.0","0.0068453399","0.0067520072","0.0181243908","0.0178605499","28.2","27.5"
"2020-07-12 17:00:00","b8:27:eb:bf:9d:51","0.0051279861","0.0050566560","52.8","50.3","0.0078420412","0.0077629839","0.0209566622","0.0207310636","22.1","21.3"
"2020-07-12 18:00:00","00:0f:00:70:91:0a","0.0048794820","0.0045227494","74.1","71.8","0.0075652537","0.0071607331","0.0201675147","0.0190178716","19.1","18.9"
"2020-07-12 18:00:00","1c:bf:ce:15:ec:4d","0.0044351934","0.0041692059","52.3","48.4","0.0070603444","0.0067514897","0.0187331290","0.0178590686","28.3","20.5"
"2020-07-12 18:00:00","b8:27:eb:bf:9d:51","0.0051517082","0.0051048904","52.1","49.9","0.0078682674","0.0078164797","0.0210315348","0.0208837011","22.2","21.5"
"2020-07-12 19:00:00","00:0f:00:70:91:0a","0.0050297111","0.0048582171","74.1","71.5","0.0077327643","0.0075413224","0.0206450098","0.0200994097","19.4","18.8"
"2020-07-12 19:00:00","1c:bf:ce:15:ec:4d","0.0045279327","0.0040878238","53.5","48.4","0.0071667538","0.0066559045","0.0190349091","0.0175891127","28.3","20.4"
"2020-07-12 19:00:00","b8:27:eb:bf:9d:51","0.0052233372","0.0051300114","51.8","49.5","0.0079472581","0.0078442815","0.0212571454","0.0209630574","22.3","21.5"
"2020-07-12 20:00:00","00:0f:00:70:91:0a","0.0057849712","0.0050327004","74.3","72.6","0.0085564822","0.0077362599","0.0230023075","0.0206548920","19.2","18.8"
"2020-07-12 20:00:00","1c:bf:ce:15:ec:4d","0.0045960258","0.0043341061","60.0","48.3","0.0072446169","0.0069436281","0.0192558662","0.0184024870","28.3","20.4"
"2020-07-12 20:00:00","b8:27:eb:bf:9d:51","0.0052709315","0.0052022426","51.8","49.6","0.0079995779","0.0079240269","0.0214066641","0.0211907774","22.2","21.7"
"2020-07-12 21:00:00","00:0f:00:70:91:0a","0.0062511682","0.0056695094","75.1","73.8","0.0090500874","0.0084324458","0.0244223915","0.0226463806","19.5","18.7"
"2020-07-12 21:00:00","1c:bf:ce:15:ec:4d","0.0046586782","0.0043507785","54.6","49.3","0.0073155417","0.0069629476","0.0194574947","0.0184571818","28.3","28.0"
"2020-07-12 21:00:00","b8:27:eb:bf:9d:51","0.0053113566","0.0052627831","51.6","49.5","0.0080439099","0.0079906287","0.0215334095","0.0213810850","22.2","21.7"
"2020-07-12 22:00:00","00:0f:00:70:91:0a","0.0111809834","0.0054252377","75.0","72.6","0.0137824055","0.0081509029","0.0382750304","0.0218484521","24.0","18.7"
"2020-07-12 22:00:00","1c:bf:ce:15:ec:4d","0.0045156102","0.0042996976","57.2","53.7","0.0071526934","0.0069037123","0.0189949939","0.0182895059","28.0","27.1"
