"timestamp","device_id","mean_co","median_co","variance_co","mean_humidity","median_humidity","variance_humidity","mean_lpg","median_lpg","variance_lpg","mean_smoke","median_smoke","variance_smoke","mean_temperature","median_temperature","variance_temperature","co_change_last_hour","humidity_change_last_hour","lpg_change_last_hour","smoke_change_last_hour","temperature_change_last_hour","co_to_humidity_ratio","smoke_to_temperature_ratio","lpg_to_co_ratio","variance_to_mean_co","variance_to_mean_humidity","variance_to_mean_lpg","variance_to_mean_smoke","variance_to_mean_temperature","high_low_percentage_co","high_low_percentage_humidity","high_low_percentage_lpg","high_low_percentage_smoke","high_low_percentage_temperature"
"2020-07-12 08:00:00","1c:bf:ce:15:ec:4d","0.0039597065","0.0039450190","0.0000000069","75.1","75.1","0.09","0.0065040254","0.0064868616","0.0000000097","0.0171608785","0.0171123592","0.0000000769","24.7","24.7","0.01","-0.0000652643","-0.3","-0.0000775410","-0.0002185457","-0.3","0.0000527234","0.0006945849","1.6425523764","0.0000017365","0.0012049688","0.0000014884","0.0000044832","0.0002451362","38.33","38.33","38.33","38.33","33.33"
"2020-07-12 08:00:00","b8:27:eb:bf:9d:51","0.0048768925","0.0048753945","0.0000000001","51.6","51.7","0.43","0.0075623403","0.0075606628","0.0000000001","0.0201592231","0.0201544449","0.0000000007","21.6","21.6","0.02","0.0000329975","0.3","0.0000370495","0.0001054807","-0.1","0.0000946051","0.0009350289","1.5506473123","0.0000000137","0.0083216887","0.0000000111","0.0000000339","0.0008836200","45.00","85.00","45.00","45.00","65.00"
"2020-07-12 09:00:00","00:0f:00:70:91:0a","0.0036872521","0.0036613791","0.0000008153","75.3","75.5","0.29","0.0061358912","0.0061119928","0.0000011977","0.0161459899","0.0160762234","0.0000094439","19.5","19.6","0.02","0.0008547674","0.1","0.0010314890","0.0028987891","0.1","0.0000489523","0.0008264455","1.6640823485","0.0002211040","0.0038359674","0.0001951986","0.0005849093","0.0008322754","50.00","66.67","50.00","50.00","56.67"
"2020-07-12 09:00:00","1c:bf:ce:15:ec:4d","0.0038689223","0.0038681107","0.0000000001","74.7","74.8","0.31","0.0063961019","0.0063951401","0.0000000002","0.0168567325","0.0168540204","0.0000000016","24.4","24.4","0.01","-0.0000907540","-0.4","-0.0001078866","-0.0003040427","-0.3","0.0000518020","0.0006905667","1.6531998982","0.0000000368","0.0042140649","0.0000000318","0.0000000957","0.0004402197","41.67","75.00","41.67","41.67","38.33"
"2020-07-12 09:00:00","b8:27:eb:bf:9d:51","0.0048732984","0.0048733908","0.0000000000","51.7","51.9","0.40","0.0075583092","0.0075584146","0.0000000000","0.0201477442","0.0201480437","0.0000000004","21.5","21.5","0.01","-0.0000036248","0.2","-0.0000040654","-0.0000115767","-0.1","0.0000942489","0.0009384866","1.5509637539","0.0000000080","0.0077481840","0.0000000065","0.0000000198","0.0005762001","50.00","83.33","50.00","50.00","73.33"
"2020-07-12 10:00:00","00:0f:00:70:91:0a","0.0038088382","0.0038033289","0.0000001490","75.3","75.4","0.34","0.0062914737","0.0062843377","0.0000002144","0.0165786911","0.0165588801","0.0000016967","19.6","19.6","0.01","0.0001215860","0.0","0.0001555825","0.0004327012","0.0","0.0000505676","0.0008472926","1.6518091414","0.0000391141","0.0045503897","0.0000340723","0.0001023404","0.0006005833","48.33","58.33","48.33","48.33","53.33"
"2020-07-12 10:00:00","1c:bf:ce:15:ec:4d","0.0039035959","0.0038976945","0.0000000008","74.2","74.3","0.16","0.0064374814","0.0064304871","0.0000000012","0.0169732663","0.0169535445","0.0000000094","24.2","24.2","0.01","0.0000346736","-0.5","0.0000413794","0.0001165338","-0.2","0.0000526150","0.0007012780","1.6491157153","0.0000002150","0.0021350640","0.0000001847","0.0000005562","0.0003916909","35.00","73.33","35.00","35.00","23.33"
"2020-07-12 10:00:00","b8:27:eb:bf:9d:51","0.0048684584","0.0048700505","0.0000000001","51.9","52.1","0.47","0.0075528770","0.0075546683","0.0000000001","0.0201322776","0.0201373756","0.0000000010","21.4","21.4","0.02","-0.0000048400","0.2","-0.0000054322","-0.0000154666","-0.1","0.0000938649","0.0009407606","1.5513898570","0.0000000210","0.0091216069","0.0000000171","0.0000000519","0.0007128148","55.00","83.33","55.00","55.00","48.33"
"2020-07-12 11:00:00","00:0f:00:70:91:0a","0.0031280355","0.0030110469","0.0000000295","75.2","75.4","0.27","0.0054746861","0.0053352745","0.0000000424","0.0142808503","0.0138881641","0.0000003358","19.5","19.5","0.01","-0.0006808026","-0.1","-0.0008167876","-0.0022978407","-0.1","0.0000415944","0.0007319759","1.7501994527","0.0000094390","0.0035608170","0.0000077462","0.0000235117","0.0007245307","43.33","61.67","43.33","43.33","36.67"
"2020-07-12 11:00:00","1c:bf:ce:15:ec:4d","0.0039670266","0.0039770508","0.0000000021","73.4","73.2","0.29","0.0065129127","0.0065249092","0.0000000030","0.0171858315","0.0172195996","0.0000000238","24.3","24.3","0.01","0.0000634306","-0.8","0.0000754313","0.0002125652","0.1","0.0000540553","0.0007082560","1.6417618040","0.0000005336","0.0040189811","0.0000004591","0.0000013820","0.0004166565","63.33","40.00","63.33","63.33","60.00"
